policy,seed,success,steps,collisions
moth,15000,True,263,0
moth,15001,True,486,177
moth,15002,True,237,0
moth,15003,True,241,0
moth,15004,False,600,431
moth,15005,True,208,0
moth,15006,True,239,0
moth,15007,True,290,0
moth,15008,True,209,0
moth,15009,True,293,0
moth,15010,True,211,0
moth,15011,False,600,392
moth,15012,True,209,0
moth,15013,True,244,0
moth,15014,True,244,0
moth,15015,True,210,0
moth,15016,True,209,0
moth,15017,True,242,0
moth,15018,True,296,0
moth,15019,True,212,0
moth,15020,False,600,430
moth,15021,True,210,0
moth,15022,True,268,60
moth,15023,True,248,0
moth,15024,False,600,369
moth,15025,True,245,0
moth,15026,True,414,205
moth,15027,True,244,0
moth,15028,True,240,0
moth,15029,True,257,0
moth,15030,True,233,0
moth,15031,True,336,0
moth,15032,True,249,0
moth,15033,True,239,0
moth,15034,True,245,0
moth,15035,True,224,15
moth,15036,True,312,0
moth,15037,True,239,0
moth,15038,True,265,0
moth,15039,True,207,0
moth,15040,True,209,0
moth,15041,False,600,377
moth,15042,True,210,0
moth,15043,True,456,189
moth,15044,True,244,0
moth,15045,False,600,431
moth,15046,True,250,0
moth,15047,True,270,23
moth,15048,True,249,0
moth,15049,True,245,0
bc,15000,False,600,414
bc,15001,True,264,0
bc,15002,True,210,0
bc,15003,True,397,188
bc,15004,True,340,97
bc,15005,True,252,0
bc,15006,True,210,0
bc,15007,True,258,0
bc,15008,True,287,20
bc,15009,False,600,414
bc,15010,True,265,0
bc,15011,True,225,0
bc,15012,True,207,0
bc,15013,True,245,0
bc,15014,True,288,28
bc,15015,True,271,0
bc,15016,True,210,0
bc,15017,False,600,432
bc,15018,True,253,0
bc,15019,False,600,431
bc,15020,True,251,0
bc,15021,True,264,0
bc,15022,True,246,0
bc,15023,True,309,82
bc,15024,True,260,0
bc,15025,True,224,0
bc,15026,True,224,0
bc,15027,True,250,0
bc,15028,True,262,0
bc,15029,False,600,451
bc,15030,True,248,0
bc,15031,True,266,0
bc,15032,True,246,0
bc,15033,False,600,431
bc,15034,True,251,0
bc,15035,True,265,0
bc,15036,True,267,0
bc,15037,True,324,54
bc,15038,False,600,414
bc,15039,True,254,0
bc,15040,True,209,0
bc,15041,True,223,0
bc,15042,True,259,13
bc,15043,True,227,0
bc,15044,True,210,0
bc,15045,False,600,431
bc,15046,False,600,431
bc,15047,True,236,11
bc,15048,True,229,0
bc,15049,True,238,0
airl,15000,True,280,0
airl,15001,True,237,0
airl,15002,True,278,0
airl,15003,True,258,0
airl,15004,True,316,0
airl,15005,True,237,0
airl,15006,True,273,0
airl,15007,True,233,0
airl,15008,True,276,0
airl,15009,False,600,348
airl,15010,True,278,0
airl,15011,True,236,0
airl,15012,True,287,29
airl,15013,False,600,417
airl,15014,True,267,0
airl,15015,True,275,0
airl,15016,True,241,0
airl,15017,True,224,0
airl,15018,True,256,0
airl,15019,True,250,0
airl,15020,True,243,0
airl,15021,True,266,0
airl,15022,True,279,0
airl,15023,True,324,0
airl,15024,True,236,0
airl,15025,True,240,0
airl,15026,True,275,0
airl,15027,True,250,0
airl,15028,True,238,0
airl,15029,True,245,0
airl,15030,True,224,0
airl,15031,True,239,0
airl,15032,True,262,0
airl,15033,True,267,0
airl,15034,True,268,0
airl,15035,True,237,0
airl,15036,True,321,0
airl,15037,True,311,33
airl,15038,False,600,422
airl,15039,True,254,0
airl,15040,True,235,0
airl,15041,True,232,0
airl,15042,True,254,0
airl,15043,False,600,405
airl,15044,True,265,1
airl,15045,True,224,0
airl,15046,True,256,0
airl,15047,True,242,0
airl,15048,True,237,0
airl,15049,True,221,0
ppo_normal,15000,True,170,0
ppo_normal,15001,True,202,0
ppo_normal,15002,True,117,0
ppo_normal,15003,True,116,0
ppo_normal,15004,True,111,0
ppo_normal,15005,True,108,0
ppo_normal,15006,True,95,0
ppo_normal,15007,True,110,0
ppo_normal,15008,True,107,0
ppo_normal,15009,True,129,0
ppo_normal,15010,True,107,0
ppo_normal,15011,True,133,0
ppo_normal,15012,True,112,0
ppo_normal,15013,True,115,0
ppo_normal,15014,True,95,0
ppo_normal,15015,True,129,0
ppo_normal,15016,True,110,0
ppo_normal,15017,True,94,0
ppo_normal,15018,True,104,0
ppo_normal,15019,True,122,0
ppo_normal,15020,True,164,0
ppo_normal,15021,True,116,0
ppo_normal,15022,True,109,0
ppo_normal,15023,True,110,0
ppo_normal,15024,True,337,0
ppo_normal,15025,True,104,0
ppo_normal,15026,True,115,0
ppo_normal,15027,True,122,0
ppo_normal,15028,True,109,0
ppo_normal,15029,True,295,0
ppo_normal,15030,True,111,0
ppo_normal,15031,True,207,0
ppo_normal,15032,True,108,0
ppo_normal,15033,True,190,0
ppo_normal,15034,True,114,0
ppo_normal,15035,True,310,0
ppo_normal,15036,True,125,0
ppo_normal,15037,True,117,0
ppo_normal,15038,True,151,0
ppo_normal,15039,True,206,0
ppo_normal,15040,True,109,0
ppo_normal,15041,True,97,0
ppo_normal,15042,True,117,0
ppo_normal,15043,True,137,0
ppo_normal,15044,True,107,0
ppo_normal,15045,True,105,0
ppo_normal,15046,True,101,0
ppo_normal,15047,True,116,0
ppo_normal,15048,True,110,0
ppo_normal,15049,True,96,0
ppo_robust,15000,True,251,0
ppo_robust,15001,True,110,0
ppo_robust,15002,False,600,0
ppo_robust,15003,False,600,0
ppo_robust,15004,True,175,0
ppo_robust,15005,True,109,0
ppo_robust,15006,True,138,0
ppo_robust,15007,True,137,0
ppo_robust,15008,True,98,0
ppo_robust,15009,True,155,0
ppo_robust,15010,True,101,0
ppo_robust,15011,True,134,0
ppo_robust,15012,True,137,0
ppo_robust,15013,False,600,0
ppo_robust,15014,True,122,0
ppo_robust,15015,False,600,0
ppo_robust,15016,False,600,0
ppo_robust,15017,True,115,0
ppo_robust,15018,True,133,0
ppo_robust,15019,False,600,0
ppo_robust,15020,True,366,0
ppo_robust,15021,True,103,0
ppo_robust,15022,True,103,0
ppo_robust,15023,True,138,0
ppo_robust,15024,True,97,0
ppo_robust,15025,True,183,0
ppo_robust,15026,False,600,0
ppo_robust,15027,False,600,0
ppo_robust,15028,True,140,0
ppo_robust,15029,False,600,0
ppo_robust,15030,True,172,0
ppo_robust,15031,True,284,0
ppo_robust,15032,True,101,0
ppo_robust,15033,True,135,0
ppo_robust,15034,True,302,0
ppo_robust,15035,True,286,0
ppo_robust,15036,True,135,0
ppo_robust,15037,False,600,0
ppo_robust,15038,True,136,0
ppo_robust,15039,True,103,0
ppo_robust,15040,True,142,0
ppo_robust,15041,True,110,0
ppo_robust,15042,True,318,0
ppo_robust,15043,True,98,0
ppo_robust,15044,True,135,0
ppo_robust,15045,True,189,0
ppo_robust,15046,False,600,0
ppo_robust,15047,True,113,0
ppo_robust,15048,True,311,0
ppo_robust,15049,True,107,0
