split,seed,success,steps,retained
train,8000,True,208,True
train,8001,True,242,True
train,8002,False,600,False
train,8003,True,253,True
train,8004,True,252,True
train,8005,True,208,True
train,8006,True,263,True
train,8007,True,208,True
train,8008,True,212,True
train,8009,True,207,True
train,8010,True,286,True
train,8011,True,278,True
train,8012,True,289,True
train,8013,True,274,True
train,8014,False,600,False
train,8015,True,212,True
train,8016,False,600,False
train,8017,True,209,True
train,8018,True,212,True
train,8019,True,243,True
train,8020,True,207,True
train,8021,True,217,True
train,8022,True,298,True
train,8023,True,241,True
train,8024,True,212,True
train,8025,False,600,False
train,8026,True,389,True
train,8027,True,247,True
train,8028,True,208,True
train,8029,True,254,True
train,8030,True,234,True
train,8031,True,300,True
train,8032,True,241,True
train,8033,True,209,True
train,8034,True,243,True
train,8035,True,301,True
train,8036,True,221,True
train,8037,False,600,False
train,8038,True,314,True
train,8039,True,265,True
train,8040,True,210,True
train,8041,True,210,True
train,8042,False,600,False
train,8043,True,261,True
train,8044,True,210,True
train,8045,True,278,True
train,8046,False,600,False
train,8047,True,209,True
train,8048,True,236,True
train,8049,True,211,True
train,8050,True,208,True
train,8051,True,241,True
train,8052,False,600,False
train,8053,True,241,True
train,8054,True,302,True
train,8055,True,292,True
train,8056,True,304,True
train,8057,True,262,True
train,8058,True,212,True
train,8059,True,280,True
train,8060,True,250,True
train,8061,False,600,False
train,8062,True,244,True
train,8063,True,352,True
train,8064,True,243,True
train,8065,True,273,True
train,8066,True,247,True
train,8067,True,283,True
train,8068,False,600,False
train,8069,True,242,True
train,8070,True,252,True
train,8071,True,250,True
train,8072,True,243,True
train,8073,True,244,True
train,8074,True,268,True
train,8075,True,211,True
train,8076,True,243,True
train,8077,True,209,True
train,8078,True,239,True
train,8079,False,600,False
train,8080,True,323,True
train,8081,True,251,True
train,8082,True,385,True
train,8083,True,251,True
train,8084,True,252,True
train,8085,True,246,True
train,8086,True,208,True
train,8087,True,347,True
train,8088,True,247,True
train,8089,True,210,True
train,8090,True,243,True
train,8091,True,237,True
train,8092,True,258,True
train,8093,False,600,False
train,8094,True,212,True
train,8095,True,208,True
train,8096,True,549,True
train,8097,False,600,False
train,8098,True,209,True
train,8099,True,348,True
train,8100,True,245,True
train,8101,True,247,True
train,8102,True,209,True
train,8103,True,253,True
train,8104,True,257,True
train,8105,True,209,True
train,8106,True,253,True
train,8107,True,243,True
train,8108,True,208,True
train,8109,True,238,True
train,8110,False,600,False
train,8111,True,248,True
train,8112,True,344,True
train,8113,True,243,True
held_out,11000,False,600,False
held_out,11001,True,247,True
held_out,11002,True,243,True
held_out,11003,True,209,True
held_out,11004,True,245,True
held_out,11005,True,249,True
held_out,11006,True,244,True
held_out,11007,True,296,True
held_out,11008,True,302,True
held_out,11009,True,244,True
held_out,11010,True,309,True
held_out,11011,True,259,True
held_out,11012,True,207,True
held_out,11013,True,317,True
held_out,11014,True,329,True
held_out,11015,True,208,True
held_out,11016,False,600,False
held_out,11017,True,296,True
held_out,11018,True,249,True
held_out,11019,True,247,True
held_out,11020,True,286,True
held_out,11021,True,243,True
